measurement_date	invoice_status	agency	aging_bucket	sum_of_trips	sum_of_dollars
2015-12-30	Hold-NEMHS	BR3	30-60	2	122
2016-01-10	Hold-NEMHS	SK2	180-365	2	266
2015-11-23	Hold-NEMHS	VA1	365+	1	15.55
2015-12-09	Hold-NEMHS	TL1	90-180	24	4193.06
2016-01-17	Hold-NEMHS	MR4	0-30	4	456
2016-01-04	Hold-NEMHS	BR7	365+	2	114
2015-12-23	Hold-NEMHS	VA1	180-365	24	2859.11
2015-12-18	Hold-NEMHS	WC1	30-60	5	493
2015-12-02	F	LOG	60-90	5	465
2016-01-05	Hold-NEMHS	MP1	90-180	18	1522
2016-01-11	Write off	TL1	365+	1	15.55
2015-12-28	Manual Tracking	PVT	30-60	1	45
2016-01-08	Billed	LOG	60-90	48	1678.16
2016-01-09	Write off	BR7	90-180	2	106
2015-12-22	Manual Tracking	LOG	0-30	57	1229.67
2015-11-27	Hold-NEMHS	BR7	90-180	4	125.4
2016-01-16	Hold-NEMHS	ND2	365+	2	90
2015-12-02	Hold-NEMHS	PVT	365+	14	2114
2016-01-12	Hold-NEMHS	MRC	0-30	4	276
2015-12-21	Hold-NEMHS	SR3	60-90	30	1902
2015-11-29	Write off	PVT	60-90	2	258
2016-01-04	Hold-NEMHS	MRC	0-30	3	202
2015-12-15	Hold-NEMHS	VA1	180-365	24	2859.11
2016-01-13	Hold-NEMHS	MR4	180-365	10	678
2015-12-12	Hold-NEMHS	SK2	0-30	4	204
2015-12-17	Hold-NEMHS	MID	0-30	3	61.2
2016-01-05	Hold-NEMHS	MR4	180-365	13	833
2015-12-27	F	LOG	90-180	5	402.4
2015-12-29	Hold-NEMHS	CDS	30-60	143	3271.3
2016-01-03	Write off	MRC	365+	2	20
2016-01-17	Hold-NEMHS	BR3	90-180	6	510
2015-12-16	Hold-NEMHS	MRC	90-180	4	329.85
2015-12-09	Hold-NEMHS	CDS	30-60	139	2961.25
2015-12-25	Hold-NEMHS	MID	0-30	5	198.2
2015-11-27	Hold-NEMHS	MP1	180-365	55	4067
2015-12-02	Write off	LOG	180-365	253	5070.92
2016-01-05	Hold-NEMHS	WC1	90-180	20	1331.2
2016-01-11	Billed	MP1	60-90	44	2656
2015-12-30	Hold-NEMHS	WC1	90-180	20	1331.2
2015-11-24	Write off	LOG	180-365	119	2187.93
2015-11-24	Hold-NEMHS	MID	180-365	4	87.67
2015-12-19	Hold-NEMHS	WC1	60-90	8	612
2015-12-21	Hold-NEMHS	PR1	180-365	5	365
2015-12-23	Hold-NEMHS	MRC	90-180	4	329.85
2015-12-10	Hold-NEMHS	MP1	180-365	75	5359
2016-01-04	F	LOG	90-180	6	495.4
2016-01-05	Hold-NEMHS	WS3	0-30	2	562.5
2016-01-13	Hold-NEMHS	WC1	90-180	14	1027
2016-01-01	Manual Tracking	LOG	180-365	148	3147.68
2016-01-02	Hold-NEMHS	PR1	180-365	5	365
2015-12-19	Hold-NEMHS	SG2	60-90	4	468
2015-11-29	Manual Tracking	LOG	60-90	250	4880.4
2015-12-13	Hold-NEMHS	PR1	180-365	5	365
2016-01-12	Hold-NEMHS	MRC	60-90	10	777.4
2015-12-28	Hold-NEMHS	SE2	30-60	49	2455
2015-12-16	Manual Tracking	LOG	90-180	115	2002.59
2015-12-20	Hold-NEMHS	SE2	30-60	33	1705
2016-01-04	Hold-NEMHS	MRC	60-90	12	871.4
2015-12-25	Hold-NEMHS	LOG	60-90	66	1197.53
2015-12-04	Write off	SE2	365+	2	98
2015-12-29	Hold-NEMHS	VA1	90-180	6	361.08
2016-01-10	Billed	WC1	30-60	1	57
2015-12-21	Manual Tracking	PVT	0-30	2	0
2015-11-26	Hold-NEMHS	PVT	365+	13	2057
2016-01-06	Hold-NEMHS	MRC	0-30	4	199.75
2015-12-02	Hold-NEMHS	CDS	30-60	132	2931.65
2016-01-07	Write off	PVT	30-60	20	1740.9
2016-01-11	Hold-NEMHS	PR1	365+	5	289
2015-12-06	Hold-NEMHS	SK2	0-30	4	204
2016-01-10	Manual Tracking	PVT	30-60	2	126
2016-01-17	Hold-NEMHS	VA1	90-180	7	406.08
2015-11-29	Hold-NEMHS	SR3	30-60	36	2276
2016-01-04	Hold-NEMHS	CDS	30-60	165	3698.05
2016-01-04	Write off	VA1	365+	1	15.55
2016-01-01	Hold-NEMHS	BR7	180-365	18	836.8
2015-12-21	Hold-NEMHS	SK2	180-365	2	266
2015-12-10	Hold-NEMHS	MRC	90-180	4	329.85
2016-01-16	Hold-NEMHS	SS1	365+	2	130
2015-12-13	Hold-NEMHS	SR1	90-180	10	514
2015-12-31	Hold-NEMHS	MID	0-30	4	61.2
2015-12-23	Hold-NEMHS	TL1	90-180	12	2813.1
2015-11-26	Hold-NEMHS	WS3	30-60	1	57
2015-12-02	Hold-NEMHS	WS3	30-60	1	57
2015-11-30	Write off	LOG	90-180	6	74.25
2015-12-10	Hold-NEMHS	BR3	30-60	6	598
2016-01-04	Manual Tracking	LOG	90-180	130	1990.73
2016-01-13	Hold-NEMHS	SS1	180-365	21	1465
2016-01-03	Hold-NEMHS	PB1	180-365	13	1757
2015-12-25	Billed	LOG	30-60	41	1000.88
2015-12-28	Hold-NEMHS	PB1	180-365	23	2335.2
2015-12-12	Hold-NEMHS	LOG	60-90	121	2199.8
2015-12-29	Manual Tracking	LOG	90-180	130	2099.55
2015-12-18	Hold-NEMHS	LOG	60-90	91	1713.03
2015-12-19	Hold-NEMHS	SR3	60-90	28	1804
2016-01-16	Write off	BR7	180-365	6	196.1
2015-12-13	Hold-NEMHS	SR3	60-90	20	1300
2015-11-27	Hold-NEMHS	HE6	90-180	2	210
2016-01-14	Hold-NEMHS	TG2	180-365	1	41
2016-01-10	Hold-NEMHS	ND2	365+	2	90
2015-12-21	Write off	MRC	365+	2	20
2015-12-13	Write off	MID	0-30	4	192.64
2015-12-14	Manual Tracking	PVT	30-60	1	0
2015-12-29	Hold-NEMHS	TL1	0-30	9	65.24
2015-12-29	Write off	TL1	365+	1	15.55
2016-01-17	Hold-NEMHS	PR1	365+	3	151
2015-11-23	Hold-NEMHS	SR3	30-60	42	2618
2016-01-11	Manual Tracking	PVT	180-365	10	476.25
2016-01-12	Hold-NEMHS	SE2	60-90	12	620
2016-01-13	Hold-NEMHS	TL1	180-365	10	1376.08
2015-12-26	Hold-NEMHS	BR7	180-365	18	836.8
2015-11-30	Manual Tracking	LE2	0-30	1	0
2015-11-23	Write off	SR3	90-180	12	772
2015-12-22	Billed	VA1	180-365	1	83.5
2015-12-09	Manual Tracking	MP1	60-90	2	106
2015-12-19	Hold-NEMHS	SR1	90-180	16	760
2015-12-23	Hold-NEMHS	SS1	90-180	4	276
2016-01-13	Hold-NEMHS	BR7	0-30	6	326
2015-12-27	Hold-NEMHS	SK2	180-365	2	266
2015-12-17	Hold-NEMHS	WS3	60-90	1	57
2015-12-02	Hold-NEMHS	CR5	180-365	6	310
2015-12-07	Write off	MID	90-180	65	2399.01
2015-12-23	Billed	MP1	0-30	11	719
2015-12-29	Billed	MP1	0-30	2	138
2016-01-09	Hold-NEMHS	SR1	90-180	6	342
2016-01-15	Hold-NEMHS	SR1	90-180	6	342
2015-11-24	Manual Tracking	PVT	90-180	9	431.25
2016-01-07	Billed	LOG	60-90	61	2018.5
2015-12-31	Hold-NEMHS	FA1	180-365	1	61
2016-01-01	Billed	LOG	60-90	93	2810.99
2015-12-12	Write off	MP1	180-365	2	102
2016-01-06	Hold-NEMHS	ND2	0-30	4	188
2015-12-23	Hold-NEMHS	RR6	180-365	1	85
2016-01-12	Billed	VA1	180-365	1	83.5
2016-01-12	Hold-NEMHS	ND2	0-30	3	147
2015-11-25	Hold-NEMHS	KE3	365+	7	783
2015-11-26	Hold-NEMHS	TL1	90-180	32	5179.34
2015-12-02	Hold-NEMHS	TL1	90-180	29	4629.42
2015-12-09	Manual Tracking	PVT	180-365	3	105.25
2015-12-03	Hold-NEMHS	HE6	0-30	5	399
2015-12-08	Manual Tracking	LOG	0-30	56	924.4
2015-12-05	Hold-NEMHS	ML7	180-365	1	173
2015-12-06	Hold-NEMHS	TL1	60-90	4	670.82
2016-01-12	Hold-NEMHS	SS1	180-365	21	1465
2015-12-27	Billed	MP1	60-90	21	1077
2015-12-31	Billed	MP1	180-365	35	2751
2016-01-04	Hold-NEMHS	SS1	180-365	23	1595
2015-12-24	Hold-NEMHS	TL1	90-180	12	2813.1
2016-01-08	Billed	MP1	180-365	31	2427
2015-11-28	Hold-NEMHS	TL1	60-90	3	580.28
2015-12-23	Hold-NEMHS	CDS	30-60	153	3360.6
2015-12-09	Hold-NEMHS	PE1	180-365	2	210
2015-12-22	Hold-NEMHS	ER2	180-365	2	226
2015-11-29	Hold-NEMHS	NB1	0-30	4	564
2016-01-03	Hold-NEMHS	MR4	0-30	4	483.25
2015-12-16	Billed	VA1	180-365	1	83.5
2015-12-04	Billed	PVT	180-365	1	133
2015-12-15	Hold-NEMHS	CDS	30-60	149	3226.7
2015-12-14	Hold-NEMHS	ER2	180-365	2	226
2015-12-01	Hold-NEMHS	PE1	180-365	2	210
2015-12-11	Hold-NEMHS	KE3	180-365	59	5027
2015-12-29	Write off	BR7	60-90	8	424
2015-12-29	Hold-NEMHS	PR1	365+	1	61
2016-01-09	Manual Tracking	MP1	90-180	5	309
2015-11-27	Hold-NEMHS	ML7	180-365	1	173
2015-12-10	Hold-NEMHS	PB1	60-90	25	2029
2016-01-06	Hold-NEMHS	PR1	365+	1	61
2016-01-12	Hold-NEMHS	LOG	180-365	1321	28049.15
2015-12-14	Hold-NEMHS	PB1	180-365	73	6109.2
2015-12-24	Billed	VA1	180-365	1	83.5
2015-11-28	Hold-NEMHS	LOG	60-90	162	3807.04
2015-11-25	Hold-NEMHS	SY4	0-30	8	453
2015-12-22	Hold-NEMHS	PB1	180-365	23	2335.2
2015-11-26	Manual Tracking	PVT	180-365	3	105.25
2016-01-04	Hold-NEMHS	SE2	60-90	4	196
2016-01-11	Hold-NEMHS	MR4	0-30	4	456
2015-12-06	Hold-NEMHS	LOG	60-90	146	2936.6
2015-12-29	Write off	LOG	180-365	258	5175.42
2015-11-29	Hold-NEMHS	CDR	180-365	3	142.5
2015-11-29	Hold-NEMHS	KE3	60-90	12	828
2016-01-04	Hold-NEMHS	PVT	30-60	251	16148.6
2015-12-07	Hold-NEMHS	CDR	180-365	3	142.5
2015-12-30	Hold-NEMHS	ML6	180-365	1	109
2015-12-19	Billed	MP1	60-90	9	481
2016-01-07	Hold-NEMHS	ML6	180-365	1	109
2015-12-01	Manual Tracking	PVT	90-180	9	431.25
2015-12-03	Hold-NEMHS	BR7	90-180	4	125.4
2016-01-03	Manual Tracking	PVT	30-60	2	45
2016-01-10	Hold-NEMHS	HL1	0-30	15	1527
2015-12-20	Billed	WC1	30-60	1	57
2015-12-20	Hold-NEMHS	CR5	365+	2	102
2015-12-15	Hold-NEMHS	ND2	90-180	14	682
2015-12-18	Manual Tracking	LOG	30-60	59	1246.39
2016-01-09	Hold-NEMHS	WC1	30-60	13	1086.75
2016-01-10	Hold-NEMHS	SR3	60-90	9	489
2015-11-25	Hold-NEMHS	WS3	30-60	1	57
2016-01-01	Hold-NEMHS	WC1	30-60	10	962
2016-01-02	Hold-NEMHS	SR3	60-90	27	1691
2015-12-28	Billed	WC1	30-60	1	57
2016-01-11	Billed	LOG	90-180	1651	34824.64
2015-11-25	Hold-NEMHS	PVT	365+	11	1831
2015-12-02	Hold-NEMHS	PB1	60-90	19	1567
2015-12-10	Manual Tracking	LOG	180-365	359	7713.62
2016-01-13	Hold-NEMHS	BR3	30-60	2	122
2016-01-10	Hold-NEMHS	SS1	365+	2	130
2015-11-26	Hold-NEMHS	MP1	180-365	54	3730
2015-12-08	F	LOG	90-180	7	499.84
2015-12-12	Hold-NEMHS	WS3	90-180	1	353
2015-12-14	Rebill	PVT	180-365	3	151
2016-01-08	Hold-NEMHS	LOG	60-90	33	972.32
2015-11-24	Manual Tracking	LOG	90-180	285	5758.88
2015-12-20	Hold-NEMHS	MRC	0-30	2	137
2015-12-04	Hold-NEMHS	WS3	90-180	1	353
2015-11-30	Hold-NEMHS	VA1	180-365	21	2224.11
2015-11-30	Hold-NEMHS	MID	180-365	4	87.67
2015-12-29	Billed	MP1	365+	6	990
2015-12-17	Hold-NEMHS	BR3	30-60	4	388
2015-12-21	Billed	MP1	365+	4	224
2015-12-08	Hold-NEMHS	MID	180-365	4	87.67
2015-12-08	Hold-NEMHS	VA1	180-365	21	2224.11
2015-12-22	Hold-NEMHS	SE2	30-60	39	2023
2015-12-17	Hold-NEMHS	NB1	30-60	4	532
2015-12-14	Hold-NEMHS	SE2	30-60	24	1262
2015-12-15	Billed	LOG	90-180	1590	32658.06
2016-01-13	Hold-NEMHS	MRC	180-365	24	1569.7
2015-12-28	Rebill	PVT	180-365	2	110
2015-12-31	Hold-NEMHS	LOG	60-90	36	1045.43
2016-01-14	Hold-NEMHS	MP1	90-180	20	1612
2016-01-05	Hold-NEMHS	MRC	180-365	24	1569.7
2015-12-14	Billed	WC1	30-60	1	57
2015-12-14	Hold-NEMHS	CR5	365+	2	102
2015-12-23	Billed	LOG	90-180	1575	32695.92
2015-12-11	Hold-NEMHS	SY4	180-365	76	5064
2015-12-24	Manual Tracking	TL1	180-365	2	676.96
2015-12-12	Manual Tracking	LOG	30-60	114	2082.87
2016-01-03	Write off	SR3	180-365	14	902
2016-01-15	Hold-NEMHS	WC1	30-60	10	747.75
2015-12-04	Write off	BR7	365+	1	49
2016-01-06	Hold-NEMHS	PVT	30-60	240	15672.75
2015-12-07	Write off	MRC	365+	2	20
2015-12-01	Hold-NEMHS	ND2	90-180	14	682
2015-12-06	Write off	VA1	365+	1	15.55
2015-12-25	Hold-NEMHS	BR7	0-30	4	198.5
2015-12-27	Hold-NEMHS	SR3	60-90	36	2276
2016-01-15	Hold-NEMHS	PVT	90-180	467	30016.44
2015-12-19	Hold-NEMHS	SS1	0-30	4	170
2015-11-25	Hold-NEMHS	KE3	0-30	8	804
2016-01-11	Hold-NEMHS	WC1	60-90	4	268
2016-01-11	Hold-NEMHS	BR3	90-180	4	300
2016-01-02	Hold-NEMHS	LE2	90-180	1	11.85
2016-01-09	Write off	MRC	365+	2	20
2015-12-21	Write off	PVT	180-365	25	2109
2016-01-07	Hold-NEMHS	CR5	180-365	4	220
2015-12-15	Billed	MP1	0-30	24	1682
2015-12-06	Hold-NEMHS	OH2	180-365	1	77
2015-12-30	Hold-NEMHS	CDR	0-30	884	26078
2015-12-22	F	LOG	90-180	4	309.4
2016-01-15	Write off	PVT	365+	74	5182.99
2016-01-10	Manual Tracking	LOG	60-90	54	1192.44
2015-12-04	Hold-NEMHS	LOG	60-90	141	2786.98
2016-01-05	Hold-NEMHS	BR3	30-60	2	122
2015-12-20	Hold-NEMHS	PB1	180-365	24	2420.2
2016-01-12	Manual Tracking	LOG	90-180	140	2036.79
2016-01-08	Hold-NEMHS	MID	0-30	5	61.2
2015-11-26	Write off	TL1	90-180	2	160.84
2015-12-24	Hold-NEMHS	PB1	60-90	5	365
2015-12-17	Billed	LOG	30-60	52	1670.02
2016-01-05	Hold-NEMHS	ML6	180-365	1	109
2015-12-13	Hold-NEMHS	CDR	180-365	3	142.5
2015-12-14	Manual Tracking	LOG	60-90	206	3760.79
2015-12-19	Write off	PVT	365+	89	4478.95
2016-01-14	Hold-NEMHS	FAC	0-30	1	141
2015-12-21	Hold-NEMHS	MR4	60-90	2	90
2015-12-23	Hold-NEMHS	ND2	90-180	14	682
2015-12-27	Hold-NEMHS	MR4	60-90	2	90
2016-01-15	Hold-NEMHS	SY4	30-60	4	220
2015-12-20	Hold-NEMHS	WC1	60-90	8	612
2015-12-09	Hold-NEMHS	VE2	90-180	1	57
2016-01-07	Hold-NEMHS	TL1	90-180	10	2692.74
2016-01-06	Billed	MP1	180-365	31	2427
2015-12-01	Write off	SR3	90-180	8	520
2015-12-31	Write off	BR7	365+	1	49
2016-01-02	Hold-NEMHS	SG2	90-180	18	1542
2016-01-09	Write off	SR3	180-365	14	902
2015-12-22	Write off	MID	90-180	68	2519.27
2015-11-27	Hold-NEMHS	CDR	90-180	182	3085
2015-11-24	Hold-NEMHS	MP1	365+	1	57
2015-12-23	Hold-NEMHS	PE1	180-365	2	210
2015-12-04	Hold-NEMHS	TL1	60-90	3	580.28
2016-01-04	Billed	VA1	180-365	1	83.5
2016-01-12	Hold-NEMHS	PVT	30-60	279	17889.85
2015-12-29	Hold-NEMHS	SS1	180-365	19	1299
2015-11-23	Hold-NEMHS	NB1	0-30	4	564
2016-01-07	Write off	MID	180-365	57	2087.49
2015-12-24	Hold-NEMHS	WS3	60-90	1	57
2016-01-02	Manual Tracking	PN1	60-90	1	25.67
2015-12-13	Hold-NEMHS	SS1	0-30	4	180
2015-12-27	Hold-NEMHS	LE2	90-180	1	11.85
2015-11-25	Hold-NEMHS	PE1	180-365	2	210
2015-12-21	Hold-NEMHS	LOG	0-30	444	9732.42
2016-01-05	Hold-NEMHS	CDR	0-30	642	18709
2015-12-03	Hold-NEMHS	ML7	180-365	1	173
2015-12-23	Manual Tracking	PVT	180-365	9	353.5
2015-11-26	Hold-NEMHS	SE2	0-30	61	3279.25
2015-12-02	Hold-NEMHS	SE2	0-30	51	2647.5
2015-12-13	Hold-NEMHS	SY4	30-60	11	591
2016-01-06	Hold-NEMHS	SR3	0-30	34	2252.75
2015-12-03	Hold-NEMHS	CDS	0-30	148	3029.55
2016-01-01	Write off	MP1	180-365	1	45
2015-11-27	Hold-NEMHS	CDS	0-30	159	3471.8
2015-12-18	Manual Tracking	MP1	90-180	2	146
2016-01-17	Manual Tracking	LE2	60-90	1	98.8
2015-12-16	Hold-NEMHS	CR5	180-365	6	310
2015-12-26	Billed	PVT	180-365	2	174
2015-12-28	Manual Tracking	MID	0-30	1	0
2015-12-22	Hold-NEMHS	SG2	90-180	14	1074
2016-01-15	Write off	MID	30-60	4	192.64
2015-12-10	Hold-NEMHS	TL1	90-180	24	4193.06
2015-12-09	Hold-NEMHS	KE3	365+	7	783
2015-12-16	Hold-NEMHS	TL1	90-180	12	2813.1
2015-12-27	Write off	LOG	365+	4	131.5
2016-01-14	Hold-NEMHS	ND2	180-365	12	628
2016-01-04	Hold-NEMHS	ND2	0-30	4	194
2015-12-07	Manual Tracking	PVT	0-30	1	0
2015-12-15	Hold-NEMHS	RR6	180-365	1	85
2015-12-29	Hold-NEMHS	ND2	0-30	10	480
2016-01-03	Manual Tracking	MP1	180-365	20	1148
2015-12-08	Hold-NEMHS	MP1	365+	6	998
2016-01-16	Hold-NEMHS	SR3	60-90	8	448
2015-12-14	Hold-NEMHS	WC1	60-90	12	822
2015-12-19	Hold-NEMHS	SG2	90-180	14	1074
2015-12-09	Manual Tracking	MP1	30-60	1	73
2015-12-10	Manual Tracking	PN1	30-60	1	25.67
2016-01-04	Hold-NEMHS	WC1	90-180	20	1331.2
2015-12-01	Hold-NEMHS	WS3	30-60	1	57
2015-12-26	Hold-NEMHS	WC1	30-60	8	808
2015-12-22	Hold-NEMHS	WC1	60-90	4	306
2016-01-14	Hold-NEMHS	PVT	60-90	166	9715.15
2016-01-14	Hold-NEMHS	SE2	90-180	16	758
2016-01-04	Hold-NEMHS	KE3	30-60	4	476
2016-01-12	Hold-NEMHS	WC1	90-180	15	1061.05
2016-01-15	Hold-NEMHS	PN1	365+	1	42.2
2015-11-26	Hold-NEMHS	PB1	60-90	15	1275
2016-01-04	Write off	MRC	365+	2	20
2016-01-07	Hold-NEMHS	BR3	30-60	2	122
2015-12-08	Hold-NEMHS	MR4	90-180	8	464
2015-12-01	Hold-NEMHS	PVT	365+	13	2057
2016-01-16	Hold-NEMHS	CDS	60-90	106	2416.35
2016-01-16	Hold-NEMHS	WC1	60-90	5	493
2015-11-30	Hold-NEMHS	KE3	0-30	8	804
2015-12-20	Billed	LOG	90-180	1574	32579.44
2015-12-02	Hold-NEMHS	SG2	30-60	4	82
2015-12-09	Hold-NEMHS	SY4	0-30	13	733.25
2016-01-12	Hold-NEMHS	PR1	365+	5	289
2016-01-12	Write off	LOG	180-365	342	6939.02
2015-12-04	Hold-NEMHS	OH2	180-365	1	77
2016-01-08	Write off	LOG	60-90	2	36.5
2016-01-17	Write off	PVT	90-180	31	2846.25
2015-11-23	Hold-NEMHS	SR1	180-365	6	342
2015-11-23	Hold-NEMHS	CDR	180-365	2	95
2016-01-06	Hold-NEMHS	FE4	30-60	2	194
2016-01-02	Write off	PVT	365+	92	4613.95
2015-12-16	Hold-NEMHS	ML7	180-365	1	173
2016-01-17	Hold-NEMHS	ND2	0-30	3	147
2015-11-23	Hold-NEMHS	KE3	60-90	12	828
2016-01-11	Billed	WC1	30-60	1	57
2015-12-15	Manual Tracking	LOG	90-180	114	2007.99
2015-12-11	Billed	LOG	30-60	3709	82697.36
2015-12-15	Hold-NEMHS	SE2	0-30	35	1899
2015-12-25	Write off	PVT	365+	90	4523.95
2016-01-10	Hold-NEMHS	MR4	60-90	2	90
2015-12-03	Billed	LOG	30-60	5389	120914.09
2015-11-25	Hold-NEMHS	VA1	180-365	21	2224.11
2015-12-05	Hold-NEMHS	SY4	180-365	76	5064
2015-12-30	Hold-NEMHS	MRC	180-365	23	1464.7
2016-01-01	Manual Tracking	LE2	30-60	1	98.8
2015-12-27	Manual Tracking	LOG	60-90	52	934.52
2015-12-29	Billed	LOG	90-180	1575	32797.21
2015-11-25	Hold-NEMHS	ND2	90-180	14	682
2015-11-30	Hold-NEMHS	CR5	365+	2	102
2016-01-07	Hold-NEMHS	MID	30-60	2	178.24
2016-01-06	Hold-NEMHS	CDS	30-60	143	3228.35
2015-12-19	Manual Tracking	LOG	60-90	59	804.76
2015-12-11	Manual Tracking	LE2	30-60	1	0
2015-12-31	Hold-NEMHS	BR3	30-60	2	122
2015-11-27	Hold-NEMHS	SY4	180-365	76	5064
2016-01-10	Billed	MP1	60-90	44	2656
2015-12-20	Write off	VA1	365+	1	15.55
2016-01-05	F	LOG	90-180	6	495.4
2015-12-28	Hold-NEMHS	MR4	0-30	6	483.25
2015-12-28	Hold-NEMHS	ER2	180-365	2	226
2015-12-30	Hold-NEMHS	MID	30-60	1	137
2015-11-27	Hold-NEMHS	KE3	180-365	86	6914
2015-11-25	Hold-NEMHS	MRC	90-180	3	228.85
2015-12-17	Manual Tracking	PN1	30-60	1	25.67
2015-12-09	Hold-NEMHS	KE3	0-30	4	350
2015-12-05	Hold-NEMHS	KE3	180-365	95	7519
2015-12-26	Write off	MRC	365+	2	20
2015-12-27	Write off	PVT	60-90	2	194
2015-12-28	F	LOG	90-180	6	495.4
2015-12-02	Hold-NEMHS	MP1	180-365	54	4226
2015-12-15	Write off	BR7	60-90	4	212
2015-12-01	Hold-NEMHS	CDS	30-60	138	3129.85
2015-12-05	Write off	FAC	365+	14	738
2016-01-03	Hold-NEMHS	MRC	0-30	3	202
2016-01-16	Hold-NEMHS	PR1	180-365	1	137
2016-01-10	Write off	BR7	90-180	2	106
2016-01-10	Hold-NEMHS	PR1	180-365	1	137
2015-11-30	Rebill	PVT	180-365	3	151
2015-12-17	Hold-NEMHS	LOG	60-90	95	1734.03
2015-12-15	Billed	MP1	365+	4	224
2016-01-02	Billed	WC1	30-60	1	57
2015-12-22	Hold-NEMHS	SR3	60-90	32	2000
2015-12-19	Hold-NEMHS	WC1	30-60	5	493
2015-12-13	Hold-NEMHS	WC1	30-60	4	277
2016-01-11	Hold-NEMHS	MRC	0-30	4	138
2015-12-14	Hold-NEMHS	SR3	60-90	20	1300
2016-01-09	Hold-NEMHS	FAC	0-30	1	0
2015-12-21	Billed	VA1	180-365	1	83.5
2015-12-09	Hold-NEMHS	ND2	90-180	14	682
2015-12-09	Hold-NEMHS	ER2	180-365	2	226
2016-01-16	Hold-NEMHS	MR4	0-30	4	456
2015-12-18	Hold-NEMHS	TL1	60-90	2	100.12
2015-12-30	Hold-NEMHS	SY4	90-180	10	570
2015-12-25	Hold-NEMHS	BR3	30-60	6	510
2016-01-03	Hold-NEMHS	BR3	90-180	12	1056
2016-01-14	Write off	BR7	365+	1	49
2015-12-19	Hold-NEMHS	LOG	0-30	35	684.06
2016-01-04	Hold-NEMHS	FE4	30-60	2	194
2016-01-05	Hold-NEMHS	MID	30-60	2	137
2015-12-30	Hold-NEMHS	LOG	180-365	882	19099.47
2015-12-30	Hold-NEMHS	CR5	180-365	7	367
2016-01-04	Write off	SR3	365+	3	163
2016-01-15	Hold-NEMHS	SK2	0-30	4	218
2016-01-10	Hold-NEMHS	LE2	90-180	1	11.85
2015-12-16	Hold-NEMHS	PB1	60-90	16	1320
2015-12-14	Hold-NEMHS	LE2	90-180	1	11.85
2016-01-16	Write off	PVT	60-90	7	415
2015-12-11	Hold-NEMHS	PB1	90-180	11	807
2015-11-28	Hold-NEMHS	OH2	180-365	1	77
2015-11-29	Hold-NEMHS	PVT	180-365	920	68050
2016-01-11	Hold-NEMHS	ND2	0-30	2	106
2015-12-14	Write off	PVT	60-90	2	194
2016-01-13	Billed	VA1	180-365	1	83.5
2015-12-24	Hold-NEMHS	KE3	180-365	33	3209
2015-12-31	Hold-NEMHS	OH2	180-365	1	77
2015-12-09	Hold-NEMHS	SE2	0-30	43	2279
2016-01-16	Rebill	LOG	365+	4	103.98
2016-01-16	Hold-NEMHS	MP1	30-60	59	3337.1
2015-12-20	Write off	SR3	180-365	14	902
2015-12-04	Manual Tracking	LOG	30-60	110	1613.32
2015-11-30	Manual Tracking	LOG	60-90	260	5057.15
2016-01-07	Manual Tracking	TL1	180-365	2	676.96
2015-12-26	Write off	SR3	180-365	14	902
2015-11-28	Manual Tracking	LOG	30-60	133	2060.62
2015-12-20	Manual Tracking	MP1	180-365	7	415
2016-01-06	Hold-NEMHS	SS1	180-365	23	1595
2015-12-12	Hold-NEMHS	TL1	60-90	3	580.28
2015-12-14	Manual Tracking	KE3	30-60	1	69
2016-01-14	Hold-NEMHS	SR3	180-365	13	765
2016-01-05	Hold-NEMHS	SY4	90-180	12	684
2016-01-16	Hold-NEMHS	SR1	90-180	6	342
2015-12-13	Hold-NEMHS	SG2	90-180	10	590
2016-01-14	Billed	MP1	180-365	18	1474
2015-12-16	Hold-NEMHS	CDR	0-30	871	26423.5
2015-12-18	Billed	PVT	180-365	2	174
2016-01-05	Hold-NEMHS	CR5	180-365	4	220
2015-12-07	Write off	PVT	180-365	24	1638.55
2015-12-06	Hold-NEMHS	SR1	90-180	4	228
2015-12-24	Hold-NEMHS	CR5	180-365	7	367
2016-01-08	Hold-NEMHS	BR7	0-30	4	198.5
2015-11-27	Hold-NEMHS	FE4	180-365	8	688
2016-01-16	Hold-NEMHS	LE2	90-180	1	11.85
2015-12-16	Hold-NEMHS	WS3	60-90	1	57
2015-12-19	Write off	PVT	0-30	18	1562.9
2016-01-10	Write off	SR3	365+	3	163
2015-12-23	Hold-NEMHS	CR5	365+	2	102
2015-12-01	Hold-NEMHS	RR6	180-365	1	85
2016-01-15	Hold-NEMHS	HL1	0-30	1	81
2015-12-21	Hold-NEMHS	SY4	30-60	4	228
2016-01-06	Manual Tracking	PVT	180-365	11	495.5
2016-01-02	Hold-NEMHS	SY4	30-60	4	220
2015-12-27	Hold-NEMHS	SY4	30-60	2	114
2016-01-09	Hold-NEMHS	LOG	0-30	1536	1101.63
2016-01-09	Write off	PVT	180-365	104	8570.65
2015-12-04	Hold-NEMHS	HE6	90-180	2	210
2015-12-04	Manual Tracking	MP1	90-180	1	73
2015-12-30	Hold-NEMHS	KE3	90-180	2	138
2016-01-10	Write off	MID	90-180	8	414.69
2015-11-25	Hold-NEMHS	VE2	90-180	1	57
2015-12-01	Hold-NEMHS	VE2	90-180	1	57
2015-12-12	Write off	MID	0-30	4	192.64
